Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,EngagementScore,RecentOrder,UnhappyCustomer,LoyaltyTier,CashbackPerOrder
15.0,29.0,4.0,Laptop & Accessory,3.0,Single,2.0,0.0,7.0,143.32,0.0,49.096,1,0,Loyal,28.663999999999998
7.0,25.0,4.0,Mobile,1.0,Married,2.0,0.0,7.0,129.29,0.0,42.487,1,0,Regular,25.857999999999997
27.0,13.0,3.0,Laptop & Accessory,1.0,Married,5.0,0.0,7.0,168.54,0.0,59.862,1,0,VIP,42.135
20.0,25.0,4.0,Fashion,3.0,Divorced,7.0,0.0,3.0,230.27,0.0,76.681,1,0,Loyal,46.054
30.0,15.0,4.0,Others,4.0,Single,8.0,0.0,8.0,269.57500000000005,0.0,91.47250000000001,1,0,VIP,53.915000000000006
7.0,16.0,4.0,Mobile Phone,2.0,Divorced,2.0,0.0,11.0,152.81,0.0,49.543,1,0,Regular,30.562
1.0,15.0,5.5,Mobile Phone,5.0,Divorced,3.0,0.0,2.0,149.51,0.0,47.352999999999994,1,0,New,23.00153846153846
1.0,11.0,4.0,Mobile Phone,5.0,Single,3.0,0.0,1.0,154.73,0.0,48.318999999999996,1,0,New,30.945999999999998
11.0,12.0,4.0,Mobile Phone,3.0,Married,2.0,0.0,4.0,137.02,0.0,46.006,1,0,Regular,27.404000000000003
17.0,7.0,3.0,Laptop & Accessory,1.0,Married,5.0,1.0,2.0,157.43,0.0,53.529,1,1,Loyal,39.3575
6.0,26.0,5.5,Fashion,3.0,Married,5.0,0.0,3.0,221.1,0.0,70.33,1,0,New,34.01538461538461
16.0,20.0,2.0,Laptop & Accessory,5.0,Married,7.0,0.0,1.0,180.38,0.0,59.71399999999999,1,0,Loyal,60.126666666666665
1.0,7.0,4.0,Mobile Phone,3.0,Divorced,5.0,0.0,3.0,154.09,0.0,48.126999999999995,1,0,New,30.818
1.0,7.0,5.0,Fashion,3.0,Divorced,7.0,0.0,3.0,231.09,0.0,71.627,1,0,New,38.515
6.0,14.0,3.0,Laptop & Accessory,5.0,Married,3.0,0.0,2.0,163.92,0.0,52.175999999999995,1,0,New,40.98
10.0,8.0,4.0,Laptop & Accessory,3.0,Single,8.0,0.0,1.0,193.15,0.0,62.545,1,0,Regular,38.63
9.0,21.0,5.0,Mobile,1.0,Married,1.0,1.0,3.0,121.68,0.0,41.204,1,1,Regular,20.28
8.0,22.0,4.0,Fashion,2.0,Divorced,3.0,0.0,6.0,204.78,0.0,65.434,1,0,Regular,40.956
19.0,27.0,4.0,Grocery,1.0,Married,2.0,1.0,11.0,259.96,0.0,85.28799999999998,1,1,Loyal,51.992
0.0,18.0,1.5,Mobile,4.0,Single,2.0,0.0,0.0,127.16,0.0,38.748,1,0,,50.864
1.0,33.0,5.0,Laptop & Accessory,5.0,Single,7.0,0.0,2.0,191.96,0.0,59.888,1,0,New,31.993333333333336
3.0,22.0,3.0,Laptop & Accessory,3.0,Married,9.0,0.0,2.0,153.01,0.0,48.003,1,0,New,38.2525
30.0,9.0,1.5,Mobile,5.0,Married,5.0,1.0,0.0,126.7,0.0,47.61,1,1,VIP,50.68
5.0,14.0,3.0,Fashion,1.0,Single,2.0,0.0,7.0,189.98,0.0,59.693999999999996,1,0,New,47.495
9.0,12.0,4.0,Fashion,4.0,Single,2.0,0.0,14.0,205.95,0.0,66.085,1,0,Regular,41.19
18.0,26.0,3.0,Laptop & Accessory,3.0,Single,9.0,0.0,1.0,148.5,0.0,51.15,1,0,Loyal,37.125
16.0,17.0,3.0,Fashion,3.0,Married,2.0,0.0,9.0,175.1,0.0,58.529999999999994,1,0,Loyal,43.775
0.0,14.0,1.5,Mobile,3.0,Single,4.0,1.0,3.0,124.32,0.0,37.896,1,1,,49.727999999999994
7.0,6.0,4.0,Fashion,5.0,Married,10.0,0.0,6.0,204.82,0.0,65.146,1,0,Regular,40.964
1.0,17.0,5.0,Fashion,5.0,Married,11.0,0.0,3.0,228.06,0.0,70.71799999999999,1,0,New,38.01
12.0,6.0,1.5,Fashion,1.0,Married,1.0,0.0,7.0,196.13,0.0,63.039,1,0,Regular,78.452
30.0,11.0,4.0,Fashion,4.0,Married,3.0,1.0,4.0,205.52,0.0,72.256,1,1,VIP,41.104
11.0,17.0,2.0,Fashion,1.0,Married,3.0,1.0,9.0,262.44,0.0,82.832,1,1,Regular,87.48
0.0,14.0,4.0,Mobile,4.0,Divorced,6.0,0.0,1.0,125.46,0.0,39.238,1,0,,25.092
0.0,14.0,4.0,Mobile,1.0,Married,6.0,0.0,3.0,123.67,0.0,38.701,1,0,,24.734
0.0,14.0,3.0,Mobile,5.0,Married,4.0,0.0,0.0,123.22,0.0,38.166000000000004,1,0,,30.805
24.0,31.0,4.0,Grocery,3.0,Married,5.0,1.0,6.0,264.73,0.0,88.219,1,1,Loyal,52.946000000000005
9.0,6.0,4.0,Mobile,5.0,Married,2.0,0.0,2.0,122.18,0.0,40.95400000000001,1,0,Regular,24.436
0.0,9.0,3.0,Laptop & Accessory,5.0,Divorced,2.0,1.0,3.0,141.94,0.0,43.782000000000004,1,1,,35.485
1.0,7.0,4.0,Mobile Phone,1.0,Married,11.0,1.0,3.0,172.87,0.0,53.760999999999996,1,1,New,34.574
4.0,18.0,3.0,Mobile Phone,1.0,Married,9.0,1.0,2.0,139.29,0.0,44.187000000000005,1,1,New,34.8225
18.0,7.0,4.0,Fashion,3.0,Married,4.0,0.0,4.0,207.48,0.0,69.244,1,0,Loyal,41.495999999999995
15.0,7.0,2.0,Fashion,5.0,Married,3.0,0.0,8.0,208.92,0.0,67.976,1,0,Loyal,69.64
17.0,21.0,4.0,Grocery,5.0,Married,8.0,0.0,1.0,269.57500000000005,0.0,87.5725,1,0,Loyal,53.915000000000006
9.0,7.0,4.0,Mobile,3.0,Married,2.0,0.0,0.0,120.08,0.0,40.324000000000005,1,0,Regular,24.016
4.0,15.0,4.0,Fashion,3.0,Married,7.0,0.0,8.0,197.64,0.0,62.092,1,0,New,39.528
5.0,9.0,4.0,Mobile Phone,1.0,Married,2.0,1.0,3.0,151.95,0.0,48.684999999999995,1,1,New,30.389999999999997
11.0,17.0,2.0,Mobile Phone,1.0,Single,5.0,0.0,1.0,171.8,0.0,55.63999999999999,1,0,Regular,57.26666666666667
24.0,6.0,4.0,Fashion,5.0,Single,4.0,0.0,8.0,174.84,0.0,61.251999999999995,1,0,Loyal,34.968
0.0,6.0,3.0,Laptop & Accessory,3.0,Divorced,2.0,0.0,7.0,152.96,0.0,47.088,1,0,,38.24
3.0,6.0,3.0,Laptop & Accessory,1.0,Single,2.0,0.0,7.0,140.11,0.0,44.133,1,0,New,35.0275
33.0,28.0,4.0,Grocery,1.0,Married,6.0,1.0,1.0,269.57500000000005,0.0,92.37250000000002,1,1,VIP,53.915000000000006
16.0,9.0,4.0,Fashion,1.0,Married,4.0,1.0,3.0,226.24,0.0,74.27199999999999,1,1,Loyal,45.248000000000005
25.0,10.0,3.0,Grocery,2.0,Divorced,3.0,0.0,4.0,265.55,0.0,88.36500000000001,1,0,VIP,66.3875
9.0,22.0,4.0,Laptop & Accessory,5.0,Married,5.0,0.0,2.0,156.47,0.0,51.241,1,0,Regular,31.294
8.0,8.0,4.0,Laptop & Accessory,1.0,Married,11.0,0.0,2.0,179.84,0.0,57.952,1,0,Regular,35.968
